INFO:services.rate_limiter:Rate limiter initialized
INFO:root:Loaded translations for fr
INFO:root:Loaded translations for en
 * Serving Flask app 'app'
 * Debug mode: on
INFO:werkzeug:[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.0.2:5000
INFO:werkzeug:[33mPress CTRL+C to quit[0m
INFO:werkzeug: * Restarting with stat
INFO:services.rate_limiter:Rate limiter initialized
INFO:root:Loaded translations for fr
INFO:root:Loaded translations for en
WARNING:werkzeug: * Debugger is active!
INFO:werkzeug: * Debugger PIN: 410-907-091
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:06:19] "[33mGET /player/auth HTTP/1.1[0m" 404 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:06:20] "GET /static/js/main.js HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:06:20] "GET /static/css/styles.css HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:06:20] "GET /static/css/tailwind.css HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:07:25] "GET /player/login HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:07:25] "GET /static/css/tailwind.css HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:07:25] "GET /static/js/main.js HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:07:25] "GET /static/js/index.js HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:07:25] "GET /static/css/styles.css HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:08:14] "GET /player/login HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:08:14] "GET /static/css/tailwind.css HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:08:14] "GET /static/js/main.js HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:08:14] "GET /static/js/index.js HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:08:14] "GET /static/css/styles.css HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:08:29] "GET /player/login HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:08:29] "GET /static/css/tailwind.css HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:08:29] "GET /static/js/main.js HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:08:29] "GET /static/js/index.js HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:08:29] "GET /static/css/styles.css HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:11:14] "GET /player/login HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:11:14] "GET /static/css/tailwind.css HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:11:14] "GET /static/js/main.js HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:11:14] "GET /static/js/index.js HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:11:14] "GET /static/css/styles.css HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:11:14] "[32mPOST /player/login HTTP/1.1[0m" 302 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:11:14] "GET /player/display HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:11:15] "GET /static/js/player.js HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:11:15] "GET /static/js/mpegts.min.js HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:11:15] "GET /static/js/hls.min.js HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:11:15] "GET /static/css/player.css HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:11:17] "GET /static/js/player-sw.js HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:11:17] "GET /player/api/playlist HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:11:17] "GET /static/uploads/fillers/3/filler_5_4a4b37d1.png HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:11:17] "POST /player/api/heartbeat HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:11:17] "POST /player/api/log-play HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [03/Mar/2026 16:11:22] "[36mGET /player/api/playlist HTTP/1.1[0m" 304 -
